method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed,n_periods,selected
robust_dfl,0.00962694622865764,0.009975500525448022,-0.0015628543011704519,-0.0017427714839519032,0.004384180194917743,-0.39751365274051825,-0.4302281353860703,-0.19544568292834208,0.1755080811809068,0.264,0.005211926218696161,0.0047635743067518605,research_grid_v3,heavy_tail_medium_sample,1,500,"{""hidden"": 64, ""lr"": 0.005, ""epochs"": 13, ""val_objective"": 0.009182319045066833}"
dfl_stateful,0.008231531811806737,0.008125945416389477,0.0008828398510864224,0.0005279319770862971,0.004808618088111608,0.10978871004160624,0.19060157586689788,-0.04769393732926086,0.3517128628435821,0.128,0.005211926218696161,0.002914019197693316,research_grid_v3,heavy_tail_medium_sample,1,500,"{""hidden"": 64, ""lr"": 0.005, ""epochs"": 42, ""val_objective"": 0.009100724011659622}"
equal_weight,0.010962000358783258,0.011498453034688372,-0.002682263379525569,-0.002682263379525569,0.004423455395835376,-0.6063728779642518,-0.5618233955960356,-0.28808589929024075,0.0,0.392,0.004107666743629146,0.007390786291059226,research_grid_v3,heavy_tail_medium_sample,2,500,{}
min_variance,0.009800961461057665,0.010310449231756351,-0.002544980071394669,-0.0025474388534934304,0.0036295656394520824,-0.7018577719333196,-0.6128601744757537,-0.27551998079941553,1.6871584774419593e-17,0.384,0.004107666743629146,0.006202782488127205,research_grid_v3,heavy_tail_medium_sample,2,500,{}
two_stage,0.00619490460179116,0.005284997319683477,0.005282729999027576,0.004549536410538413,0.005860789035596129,0.7762668784237156,2.36734070403455,-0.014959312153641768,0.7291797529648806,0.08,0.004107666743629146,0.0011773305760543308,research_grid_v3,heavy_tail_medium_sample,2,500,{}
robust_two_stage,0.0048318449856409994,0.004249620058202026,0.003506512071208856,0.002911124637194871,0.005111730755532649,0.5694988206244108,1.755758059758744,-0.013161994903560847,0.5923110264584206,0.072,0.004107666743629146,0.00014195331457287925,research_grid_v3,heavy_tail_medium_sample,2,500,{}
mlp_two_stage,0.007402807607554618,0.006969606309792419,0.0028113937412595543,0.002166006488810995,0.005297604132506197,0.408865297259845,0.8993018013228883,-0.020431720978956625,0.6441087797503744,0.12,0.004107666743629146,0.0028619395661632725,research_grid_v3,heavy_tail_medium_sample,2,500,"{""hidden"": 64, ""lr"": 0.001, ""epochs"": 39, ""val_mse"": 0.7781367301940918}"
linear_dfl,0.010831199597713526,0.010930616857677846,-0.00012758740405124079,-0.0004970862998215993,0.005521879093161772,-0.09002122128084326,-0.12854991967025955,-0.10031008425147914,0.3685336581503908,0.264,0.004107666743629146,0.0068229501140487,research_grid_v3,heavy_tail_medium_sample,2,500,"{""hidden"": 0, ""lr"": 0.005, ""epochs"": 52, ""val_objective"": 0.011841882020235062}"
dfl,0.008733763497480002,0.00867988549869116,0.0006099925076096471,0.00026938999394420963,0.00526289787249692,0.051186627675374984,0.08502728559962883,-0.07517332992809822,0.33637175146463266,0.216,0.004107666743629146,0.004572218755062013,research_grid_v3,heavy_tail_medium_sample,2,500,"{""hidden"": 64, ""lr"": 0.02, ""epochs"": 14, ""val_objective"": 0.010419466532766819}"
robust_dfl,0.009217143119439315,0.009054889779113718,0.0012870399391866284,0.0008112667016279861,0.005331669614244622,0.15215997242371598,0.2582575229657835,-0.06228057572045875,0.4735795789632984,0.208,0.004107666743629146,0.004947223035484572,research_grid_v3,heavy_tail_medium_sample,2,500,"{""hidden"": 64, ""lr"": 0.02, ""epochs"": 25, ""val_objective"": 0.0111541161313653}"
dfl_stateful,0.009662361274493238,0.009610613608463478,0.0006916074311005431,0.00025873833014880093,0.005096720035637794,0.050765654830726294,0.07774937064194502,-0.09874613863907988,0.4318572458788974,0.208,0.004107666743629146,0.005502946864834332,research_grid_v3,heavy_tail_medium_sample,2,500,"{""hidden"": 64, ""lr"": 0.02, ""epochs"": 21, ""val_objective"": 0.008853857405483723}"
equal_weight,0.010790034247106608,0.011383181156309695,-0.002965734546015439,-0.002965734546015439,0.003961317089947018,-0.7486738571858257,-0.6415403283868368,-0.3193056388375558,0.0,0.264,0.007711555905370151,0.003671625250939544,research_grid_v3,heavy_tail_medium_sample,3,500,{}
min_variance,0.010418627470536321,0.010964027905823287,-0.002723856798638995,-0.0027270021764348304,0.003951806110823984,-0.6900647702010266,-0.6000555962133666,-0.29676117455782447,6.47619495167658e-17,0.224,0.007711555905370151,0.003252472000453136,research_grid_v3,heavy_tail_medium_sample,3,500,{}
two_stage,0.010947568920451638,0.010415751957451152,0.0033607828813192503,0.0026590848150024275,0.006452406873878409,0.4121074300746938,0.8073775339234142,-0.024552864381778172,0.6992129202356355,0.088,0.007711555905370151,0.002704196052081001,research_grid_v3,heavy_tail_medium_sample,3,500,{}
robust_two_stage,0.01007809824695594,0.009903583984570459,0.0014386984665608561,0.0008725713119274128,0.005679154494323886,0.1536445808343253,0.24527213067749504,-0.04588391572934247,0.564204318590001,0.16,0.007711555905370151,0.0021920280792003073,research_grid_v3,heavy_tail_medium_sample,3,500,{}
mlp_two_stage,0.01039603059366089,0.010060808187324438,0.0024366288637148793,0.0016761120316822612,0.006099269312489588,0.2748053816832206,0.4748454077479705,-0.032522009869119795,0.7571551918533124,0.136,0.007711555905370151,0.0023492522819542868,research_grid_v3,heavy_tail_medium_sample,3,500,"{""hidden"": 64, ""lr"": 0.001, ""epochs"": 70, ""val_mse"": 0.8717320561408997}"
linear_dfl,0.01387468999226246,0.01394036217742446,0.00021049464971546248,-0.0003283609258099952,0.005968422490249066,-0.05501636760658948,-0.07333051855107876,-0.07766689416771433,0.5382076538348114,0.136,0.007711555905370151,0.006228806272054309,research_grid_v3,heavy_tail_medium_sample,3,500,"{""hidden"": 0, ""lr"": 0.005, ""epochs"": 125, ""val_objective"": 0.010471041314303875}"
dfl,0.010924833586715895,0.011207641590548935,-0.001106066018850207,-0.0014140400191652049,0.00500540016856702,-0.2825028911299859,-0.33452056238390493,-0.176024522537786,0.3069288481392671,0.2,0.007711555905370151,0.003496085685178784,research_grid_v3,heavy_tail_medium_sample,3,500,"{""hidden"": 16, ""lr"": 0.001, ""epochs"": 185, ""val_objective"": 0.008614225313067436}"
robust_dfl,0.009849362391777526,0.010053676474211662,-0.0007555184957095368,-0.0010215704121706865,0.004313242699474733,-0.23684510311887813,-0.27542106606300265,-0.1316730890515333,0.264313811175385,0.184,0.007711555905370151,0.002342120568841511,research_grid_v3,heavy_tail_medium_sample,3,500,"{""hidden"": 64, ""lr"": 0.001, ""epochs"": 83, ""val_objective"": 0.008954350836575031}"
