method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed
robust_dfl,0.006976791357425988,0.005194919031685346,0.009289253491946923,0.008909361628703209,0.0074805671980834685,1.1910008147236213,1.1724249290089492,-0.026710814815359307,0.76005613763496,0.05333333333333334,-0.005961147101317417,0.011156066133002764,research_grid,well_specified_high_sample,4
equal_weight,0.01218223807002797,0.01274767759011591,-0.002827197600439705,-0.002827197600439705,0.00484777137533748,-0.5831953243999038,-0.8365329582803119,-0.3036576566494753,0.0,0.056,0.007689476468734673,0.005058201121381237,research_grid,heavy_tail_medium_sample,0
min_variance,0.010430751327549375,0.010966689197927268,-0.002676687709438169,-0.002679689351889467,0.00421460186632177,-0.6358107921572944,-0.8758348724712053,-0.289772587843673,2.844107118274878e-17,0.056,0.007689476468734673,0.003277212729192595,research_grid,heavy_tail_medium_sample,0
two_stage,0.0076471419028378024,0.0068330479859100065,0.004826658658788498,0.00407046958463898,0.006154891517394216,0.6613389647037917,1.3118039444512815,-0.015324762546778725,0.7570071905264713,0.056,0.007689476468734673,-0.0008564284828246668,research_grid,heavy_tail_medium_sample,0
robust_two_stage,0.006527157947058364,0.00613219076795422,0.0025466111157840215,0.0019748358955207178,0.004983823738511939,0.39624914498162234,0.9136323442439052,-0.024909242881685945,0.5718250571045541,0.056,0.007689476468734673,-0.001557285700780453,research_grid,heavy_tail_medium_sample,0
dfl,0.022465127362718048,0.02211692279779745,0.0024726645819985738,0.0017410228246029955,0.01110512185819407,0.15677656190342304,0.2395936228352734,-0.06840184606292798,0.7281741449792433,0.056,0.007689476468734673,0.014427446329062777,research_grid,heavy_tail_medium_sample,0
robust_dfl,0.0188271597380466,0.018508391452390482,0.0023144817609899223,0.0015938414282805787,0.009408324543146416,0.1694075731339668,0.2528695384847281,-0.0773313392669519,0.7181010424525913,0.056,0.007689476468734673,0.010818914983655809,research_grid,heavy_tail_medium_sample,0
equal_weight,0.013211279449389199,0.013621350657355934,-0.002050356039833681,-0.002050356039833681,0.005978936774518167,-0.34292987479466797,-0.5349452466465994,-0.23924313769527128,0.0,0.056,0.00395610957727362,0.009665241080082314,research_grid,heavy_tail_medium_sample,1
min_variance,0.008718314698590201,0.009167229718704695,-0.002239738685460112,-0.002244575100572469,0.0035295648056482337,-0.6359353698066748,-0.9375727853022823,-0.24399424206943665,1.0366811519669956e-16,0.056,0.00395610957727362,0.005211120141431076,research_grid,heavy_tail_medium_sample,1
two_stage,0.007784032189706609,0.007234245075728754,0.0034473413241060233,0.0027489355698892735,0.004996529698986994,0.5501689642506136,0.9711005648024231,-0.02366186154996408,0.6944341766238037,0.056,0.00395610957727362,0.0032781354984551345,research_grid,heavy_tail_medium_sample,1
